"symbol","date","close"
"CL=F",2013-05-15,94.300003
"MXN=X",2013-05-15,12.192
"CL=F",2013-05-16,95.160004
"MXN=X",2013-05-16,12.2643
"CL=F",2013-05-17,96.019997
"MXN=X",2013-05-17,12.3366
"CL=F",2013-05-19,NA
"CL=F",2013-05-20,96.709999
"MXN=X",2013-05-20,12.2934
"CL=F",2013-05-21,96.160004
"MXN=X",2013-05-21,12.3305
"CL=F",2013-05-22,94.279999
"MXN=X",2013-05-22,12.4246
"CL=F",2013-05-23,94.25
"MXN=X",2013-05-23,12.3847
"CL=F",2013-05-24,94.150002
"MXN=X",2013-05-24,12.5253
"CL=F",2013-05-26,NA
"MXN=X",2013-05-27,12.4533
"CL=F",2013-05-28,95.010002
"MXN=X",2013-05-28,12.6302
"CL=F",2013-05-29,93.129997
"MXN=X",2013-05-29,12.6557
"CL=F",2013-05-30,93.610001
"MXN=X",2013-05-30,12.772
"CL=F",2013-05-31,91.970001
"MXN=X",2013-05-31,12.7957
"CL=F",2013-06-02,NA
"CL=F",2013-06-03,93.449997
"MXN=X",2013-06-03,12.7499
"CL=F",2013-06-04,93.309998
"MXN=X",2013-06-04,12.7008
"CL=F",2013-06-05,93.739998
"MXN=X",2013-06-05,12.8612
"CL=F",2013-06-06,94.760002
"MXN=X",2013-06-06,12.8083
"CL=F",2013-06-07,96.029999
"MXN=X",2013-06-07,12.7653
"CL=F",2013-06-09,NA
"CL=F",2013-06-10,95.769997
"MXN=X",2013-06-10,12.8972
"CL=F",2013-06-11,95.379997
"MXN=X",2013-06-11,12.826
"CL=F",2013-06-12,95.879997
"MXN=X",2013-06-12,12.921
"CL=F",2013-06-13,96.690002
"MXN=X",2013-06-13,12.6219
"CL=F",2013-06-14,97.849998
"MXN=X",2013-06-14,12.7027
"CL=F",2013-06-16,NA
"CL=F",2013-06-17,97.769997
"MXN=X",2013-06-17,12.8255
"CL=F",2013-06-18,98.440002
"MXN=X",2013-06-18,12.9012
"CL=F",2013-06-19,98.239998
"MXN=X",2013-06-19,13.1986
"CL=F",2013-06-20,95.400002
"MXN=X",2013-06-20,13.3263
"CL=F",2013-06-21,93.690002
"MXN=X",2013-06-21,13.2926
"CL=F",2013-06-23,NA
"CL=F",2013-06-24,95.18
"MXN=X",2013-06-24,13.2743
"CL=F",2013-06-25,95.32
"MXN=X",2013-06-25,13.2512
"CL=F",2013-06-26,95.5
"MXN=X",2013-06-26,13.1446
"CL=F",2013-06-27,97.050003
"MXN=X",2013-06-27,13
"CL=F",2013-06-28,96.559998
"MXN=X",2013-06-28,12.9353
"CL=F",2013-06-30,NA
"CL=F",2013-07-01,97.989998
"MXN=X",2013-07-01,12.9458
"CL=F",2013-07-02,99.599998
"MXN=X",2013-07-02,13.0382
"CL=F",2013-07-03,NA
"MXN=X",2013-07-03,12.9308
"MXN=X",2013-07-04,12.9098
"CL=F",2013-07-05,103.220001
"MXN=X",2013-07-05,13.0697
"CL=F",2013-07-07,NA
"CL=F",2013-07-08,103.139999
"MXN=X",2013-07-08,12.8869
"CL=F",2013-07-09,103.529999
"MXN=X",2013-07-09,12.8983
"CL=F",2013-07-10,106.519997
"MXN=X",2013-07-10,12.7831
"CL=F",2013-07-11,104.910004
"MXN=X",2013-07-11,12.7946
"CL=F",2013-07-12,105.949997
"MXN=X",2013-07-12,12.8037
"CL=F",2013-07-14,NA
"CL=F",2013-07-15,106.32
"MXN=X",2013-07-15,12.666
"CL=F",2013-07-16,106
"MXN=X",2013-07-16,12.6166
"CL=F",2013-07-17,106.480003
"MXN=X",2013-07-17,12.4765
"CL=F",2013-07-18,108.040001
"MXN=X",2013-07-18,12.498
"CL=F",2013-07-19,108.050003
"MXN=X",2013-07-19,12.5133
"CL=F",2013-07-21,NA
"CL=F",2013-07-22,106.910004
"MXN=X",2013-07-22,12.4939
"CL=F",2013-07-23,107.230003
"MXN=X",2013-07-23,12.4906
"CL=F",2013-07-24,105.389999
"MXN=X",2013-07-24,12.6058
"CL=F",2013-07-25,105.489998
"MXN=X",2013-07-25,12.599
"CL=F",2013-07-26,104.699997
"MXN=X",2013-07-26,12.6585
"CL=F",2013-07-28,NA
"CL=F",2013-07-29,104.550003
"MXN=X",2013-07-29,12.7484
"CL=F",2013-07-30,103.080002
"MXN=X",2013-07-30,12.7613
"CL=F",2013-07-31,105.029999
"MXN=X",2013-07-31,12.74
"CL=F",2013-08-01,107.889999
"MXN=X",2013-08-01,12.8291
"CL=F",2013-08-02,106.940002
"MXN=X",2013-08-02,12.6533
"CL=F",2013-08-04,NA
"CL=F",2013-08-05,106.559998
"MXN=X",2013-08-05,12.6395
"CL=F",2013-08-06,105.300003
"MXN=X",2013-08-06,12.6165
"CL=F",2013-08-07,104.370003
"MXN=X",2013-08-07,12.74
"CL=F",2013-08-08,103.400002
"MXN=X",2013-08-08,12.5962
"CL=F",2013-08-09,105.970001
"MXN=X",2013-08-09,12.6103
"CL=F",2013-08-11,NA
"CL=F",2013-08-12,106.110001
"MXN=X",2013-08-12,12.6715
"CL=F",2013-08-13,106.830002
"MXN=X",2013-08-13,12.7262
